model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,-9.13966,-1.5369002,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p8_ee36_auto_euc,8,36,auto,euclidean,pca
lingxusb/PlasmidGPT,-10.557315,-37.30158,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,3.3925767,16.768162,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-10.764243,-25.225698,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-11.447685,-15.4770155,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,-1.4054552,4.944142,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,1.7603968,6.7508955,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,-5.718416,0.14574417,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,0.6799304,2.9939377,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p8_ee36_auto_euc,8,36,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,3.604478,3.2899394,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p8_ee36_auto_euc,8,36,auto,euclidean,pca
