model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_perplexity,tsne_init
lingxusb/megaDNA,1.0238197,-0.94883186,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,30,pca
lingxusb/PlasmidGPT,3.776379,-3.5791733,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,30,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,-3.0143518,4.0200124,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,30,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,5.925299,-3.6859138,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,30,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-0.9642154,-2.295417,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,30,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,-1.663467,1.1212908,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,30,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-1.9923939,3.1112187,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,30,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,-0.43051973,-0.2014562,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,30,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,-0.53141296,1.7337471,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,30,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-0.3178992,3.1281536,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,30,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-0.81552225,2.1041243,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,30,pca
InstaDeepAI/NTv3_650M_pre,-4.1491466,8.047459,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,30,pca
InstaDeepAI/NTv3_100M_pre,-5.188183,5.7114263,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,30,pca
InstaDeepAI/NTv3_8M_pre,-5.0813074,5.7416697,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,30,pca
InstaDeepAI/NTv3_650M_pre_8kb,-3.995544,8.509912,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,30,pca
InstaDeepAI/NTv3_100M_pre_8kb,-4.329003,7.206524,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,30,pca
InstaDeepAI/NTv3_8M_pre_8kb,-4.974839,5.820661,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,30,pca
