model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_perplexity,tsne_init
lingxusb/megaDNA,1.8498702,-1.5482346,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,30,random
lingxusb/PlasmidGPT,4.8476987,-3.51589,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,30,random
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,-2.390811,3.5874188,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,30,random
InstaDeepAI/nucleotide-transformer-2.5b-1000g,7.0636625,-3.805251,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,30,random
InstaDeepAI/nucleotide-transformer-500m-human-ref,-0.022595402,-3.059168,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,30,random
InstaDeepAI/nucleotide-transformer-500m-1000g,-1.0376061,0.35174847,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,30,random
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-1.3551178,2.3512871,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,30,random
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,0.35923725,-0.9182725,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,30,random
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,0.0037457715,0.883269,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,30,random
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-0.24698502,2.102897,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,30,random
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-0.28830457,1.2351122,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,30,random
InstaDeepAI/NTv3_650M_pre,-3.8953674,7.57526,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,30,random
InstaDeepAI/NTv3_100M_pre,-4.416929,4.82665,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,30,random
InstaDeepAI/NTv3_8M_pre,-4.33304,4.881765,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,30,random
InstaDeepAI/NTv3_650M_pre_8kb,-3.8581214,8.035393,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,30,random
InstaDeepAI/NTv3_100M_pre_8kb,-3.8247266,6.8131876,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,30,random
InstaDeepAI/NTv3_8M_pre_8kb,-4.2802753,5.0116286,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,30,random
InstaDeepAI/NTv3_5downsample_pre,-3.9192536,8.384018,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,30,random
InstaDeepAI/NTv3_5downsample_pre_8kb,-3.9741435,8.578531,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,30,random
InstaDeepAI/agro-nucleotide-transformer-1b,-0.23600395,3.8934739,V_d,tsne,AgroNT,mlm_or_encoder,InstaDeepAI,0.8430997842169101,30,random
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,-1.2171054,-2.8442018,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.884701633913021,30,random
kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,0.6311298,-5.2659187,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8599849636540228,30,random
kuleshov-group/caduceus-ph_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,0.16030915,-4.8333397,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8733538576992442,30,random
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,-1.2560943,-2.8424256,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8866102313993073,30,random
kuleshov-group/caduceus-ps_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,-0.033905175,-4.697795,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8801137007974275,30,random
kuleshov-group/caduceus-ps_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,0.4116196,-5.2480183,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8589845702949933,30,random
LongSafari/hyenadna-tiny-1k-seqlen,1.598375,-4.919182,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8593370657548011,30,random
LongSafari/hyenadna-tiny-1k-seqlen-d256,1.4475249,-5.138331,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8684343145836461,30,random
LongSafari/hyenadna-tiny-16k-seqlen-d128,1.6513848,-4.647594,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8441865827118354,30,random
LongSafari/hyenadna-small-32k-seqlen,1.060253,-4.150708,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8614033701713478,30,random
LongSafari/hyenadna-medium-160k-seqlen,1.404489,-4.385763,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8750736245081588,30,random
