model_id,x,y,embedding_input,method,family,branch,organization,param_count,mean_auc,auc_Yeast_H4,auc_enhancer,auc_5mC,auc_promoter_arabidopsis_TATA,auc_mouse_TFBS_3,auc_promoter_tata_300bps
lingxusb/megaDNA,1.6495519,5.358864,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,145559182,0.8930338801632108,0.9496733317460077,0.7848500000000002,0.9305027964567438,0.9651231130908191,0.8857897438444853,0.8422642958412098
lingxusb/PlasmidGPT,-10.569488,17.7863,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,109670400,0.785122942384946,0.8503738658642228,0.75735,0.5708368356394672,0.9038037202012702,0.8503386154024473,0.7780346172022685
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,16.088139,-13.893061,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,2500000000,0.9131904712945151,0.9559992046485002,0.809375,0.9006591070735809,0.9766353212901097,0.9479492656433693,0.888524929111531
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-18.608633,16.698238,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,2500000000,0.8864009867974282,0.9257728925296063,0.7883,0.8653457584378635,0.9715674750474306,0.9255170301193847,0.8419027646502835
InstaDeepAI/nucleotide-transformer-500m-human-ref,-10.3045435,1.9338477,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,485700308,0.8511055366058821,0.9168057687469078,0.8079000000000001,0.7290285949825422,0.9497958426132146,0.89687132614707,0.8062316871455576
InstaDeepAI/nucleotide-transformer-500m-1000g,6.1736054,-4.85855,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,485700308,0.855698623850692,0.9129676911672077,0.803125,0.7536531747058064,0.9490250969232038,0.9066241120659679,0.8087966682419659
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,7.6830397,-9.210859,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,55905164,0.879133882990919,0.9333971218745303,0.7918000000000001,0.807563768912453,0.9691495504413099,0.9254052621992616,0.8474875945179584
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,5.0067744,2.9176393,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,51772364,0.8848244368218522,0.9424497332786212,0.7829249999999999,0.859649796327428,0.971905159613957,0.9260924279303895,0.8259245037807184
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,3.3630571,-6.558634,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,97889484,0.8766018465171728,0.93520692648149,0.77245,0.8054260151299625,0.965450486678215,0.9238570695279253,0.8572205812854441
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,3.3557298,-10.33644,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,498346364,0.8836021447751174,0.9339725274446928,0.7853999999999999,0.8496136686926161,0.9637337086529737,0.9259516831420859,0.8429412807183364
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,4.036441,-7.6273613,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,235121356,0.8846209413214212,0.9423861980340802,0.7886,0.8338654144575196,0.9680668976325992,0.9173289950822114,0.8574781427221172
InstaDeepAI/NTv3_650M_pre,27.118721,-20.075218,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,651829819,0.8951982046421899,0.962215315666736,0.7712749999999999,0.8271975623949308,0.9729646127196239,0.964470220058616,0.8730665170132326
InstaDeepAI/NTv3_100M_pre,25.401615,-14.251291,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,106463611,0.891746815167064,0.9569216266373518,0.7936249999999999,0.8158177615414457,0.9775452651983833,0.9603513652244464,0.8462198724007561
InstaDeepAI/NTv3_8M_pre,24.142523,-14.181667,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,7692507,0.884685370229313,0.9562687545065696,0.76905,0.8356313849734902,0.9768054524457643,0.953620452701472,0.8167361767485822
InstaDeepAI/NTv3_650M_pre_8kb,27.133514,-21.595646,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,651829819,0.9072923951387537,0.9635478671577244,0.80285,0.8291777124013966,0.9801797203662461,0.9737345387710497,0.8942645321361058
