model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,6.2057137,-7.423734,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p10_ee24_cosine,10,24,auto,cosine,pca
lingxusb/PlasmidGPT,21.4398,-3.9476893,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,-7.066282,11.852806,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,11.723768,1.9081715,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,17.192087,-17.511639,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,-1.2589405,7.809247,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-3.5962522,6.0577364,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,-7.608921,6.7374015,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,0.25822264,4.002834,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-0.875687,2.9911442,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-0.3059565,3.9343717,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/NTv3_650M_pre,-14.010779,16.206799,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/NTv3_100M_pre,-13.523342,13.6408615,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/NTv3_8M_pre,-12.941919,13.484189,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/NTv3_650M_pre_8kb,-13.524876,16.778572,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/NTv3_100M_pre_8kb,-13.259055,15.749555,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/NTv3_8M_pre_8kb,-12.831694,14.054612,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/NTv3_5downsample_pre,-14.604423,16.822378,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/NTv3_5downsample_pre_8kb,-14.241459,17.338348,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,p10_ee24_cosine,10,24,auto,cosine,pca
InstaDeepAI/agro-nucleotide-transformer-1b,-14.379635,4.1775246,V_d,tsne,AgroNT,mlm_or_encoder,InstaDeepAI,0.8430997842169101,p10_ee24_cosine,10,24,auto,cosine,pca
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,8.743655,8.356838,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.884701633913021,p10_ee24_cosine,10,24,auto,cosine,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,17.524738,-14.867929,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8599849636540228,p10_ee24_cosine,10,24,auto,cosine,pca
kuleshov-group/caduceus-ph_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,17.49311,-15.764916,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8733538576992442,p10_ee24_cosine,10,24,auto,cosine,pca
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,8.823846,8.410483,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8866102313993073,p10_ee24_cosine,10,24,auto,cosine,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,18.14732,-16.004646,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8801137007974275,p10_ee24_cosine,10,24,auto,cosine,pca
kuleshov-group/caduceus-ps_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,18.167488,-15.1249,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8589845702949933,p10_ee24_cosine,10,24,auto,cosine,pca
