model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,-12.582758,10.173644,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p5_ee24_auto_euc,5,24,auto,euclidean,pca
lingxusb/PlasmidGPT,-51.753525,-0.5811683,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,26.149889,13.007829,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-48.629337,-6.5879874,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-27.26504,5.928992,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,2.3352323,7.496797,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,1.3672096,2.0963883,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,-9.777648,8.646315,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,4.4539933,3.044918,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,4.277808,-0.85441065,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,3.8620498,2.0216568,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/NTv3_650M_pre,29.72145,25.944498,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/NTv3_100M_pre,37.531,23.911528,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,p5_ee24_auto_euc,5,24,auto,euclidean,pca
InstaDeepAI/NTv3_8M_pre,37.2178,22.583523,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,p5_ee24_auto_euc,5,24,auto,euclidean,pca
