model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_label,tsne_perplexity,tsne_early_exaggeration,tsne_learning_rate,tsne_metric,tsne_init
lingxusb/megaDNA,12.230202,-2.6537163,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,p8_ee24_lr50_euc,8,24,50,euclidean,pca
lingxusb/PlasmidGPT,31.183159,-23.077724,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,-11.411701,15.283048,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,32.805614,-31.962015,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,3.8447711,-15.565831,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,-2.8625195,2.0265062,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-2.8058703,6.8259487,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,9.14779,-1.485832,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,0.76301587,4.2588406,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,1.5704174,8.237611,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,0.27626646,5.441932,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/NTv3_650M_pre,-20.632488,25.682323,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/NTv3_100M_pre,-20.691267,18.368513,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/NTv3_8M_pre,-20.784079,19.719904,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,p8_ee24_lr50_euc,8,24,50,euclidean,pca
InstaDeepAI/NTv3_650M_pre_8kb,-21.631151,26.837172,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,p8_ee24_lr50_euc,8,24,50,euclidean,pca
