model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_perplexity,tsne_init
lingxusb/megaDNA,-6.3267574,1.7091777,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,15,pca
lingxusb/PlasmidGPT,-11.846189,8.220605,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,15,pca
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,2.353588,-6.9258904,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,15,pca
InstaDeepAI/nucleotide-transformer-2.5b-1000g,-12.54252,17.606691,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,15,pca
InstaDeepAI/nucleotide-transformer-500m-human-ref,-3.2510867,5.7411475,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,15,pca
InstaDeepAI/nucleotide-transformer-500m-1000g,-1.3166189,-1.9161226,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,15,pca
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-0.56889564,-4.6564837,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,15,pca
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,-4.190397,0.98341334,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,15,pca
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,-3.0844607,-2.8041987,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,15,pca
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-3.5506997,-4.8762703,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,15,pca
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-2.7988663,-3.2720692,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,15,pca
InstaDeepAI/NTv3_650M_pre,6.9098945,-12.539857,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,15,pca
InstaDeepAI/NTv3_100M_pre,7.0960507,-8.9059725,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,15,pca
InstaDeepAI/NTv3_8M_pre,6.800301,-9.027459,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,15,pca
InstaDeepAI/NTv3_650M_pre_8kb,7.0691776,-13.177041,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,15,pca
