model_id,x,y,embedding_input,method,family,branch,organization,mean_auc,tsne_perplexity,tsne_init
lingxusb/megaDNA,3.1270754,-1.4941664,V_d,tsne,MegaDNA,ar_or_generative,lingxusb,0.8930338801632108,20,random
lingxusb/PlasmidGPT,9.720017,-0.60526884,V_d,tsne,PlasmidGPT,ar_or_generative,lingxusb,0.785122942384946,20,random
InstaDeepAI/nucleotide-transformer-2.5b-multi-species,-7.344105,-4.186177,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.9131904712945151,20,random
InstaDeepAI/nucleotide-transformer-2.5b-1000g,8.116334,-3.0014794,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8864009867974282,20,random
InstaDeepAI/nucleotide-transformer-500m-human-ref,3.4010592,3.2851586,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.8511055366058821,20,random
InstaDeepAI/nucleotide-transformer-500m-1000g,-3.0455337,-2.7392554,V_d,tsne,NT,mlm_or_encoder,InstaDeepAI,0.855698623850692,20,random
InstaDeepAI/nucleotide-transformer-v2-50m-multi-species,-4.386406,-4.443165,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.879133882990919,20,random
InstaDeepAI/nucleotide-transformer-v2-50m-3mer-multi-species,1.7886858,-2.3640416,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8848244368218522,20,random
InstaDeepAI/nucleotide-transformer-v2-100m-multi-species,-1.8161027,-3.056003,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8766018465171728,20,random
InstaDeepAI/nucleotide-transformer-v2-500m-multi-species,-2.4621093,-4.4343452,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8836021447751174,20,random
InstaDeepAI/nucleotide-transformer-v2-250m-multi-species,-2.1947157,-3.4001067,V_d,tsne,NTv2,mlm_or_encoder,InstaDeepAI,0.8846209413214212,20,random
InstaDeepAI/NTv3_650M_pre,-12.718809,-5.0632854,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8951982046421899,20,random
InstaDeepAI/NTv3_100M_pre,-10.58858,-3.1681044,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.891746815167064,20,random
InstaDeepAI/NTv3_8M_pre,-10.562211,-3.3283682,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.884685370229313,20,random
InstaDeepAI/NTv3_650M_pre_8kb,-13.196881,-5.2306185,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9072923951387537,20,random
InstaDeepAI/NTv3_100M_pre_8kb,-11.836254,-4.783245,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8989671953699293,20,random
InstaDeepAI/NTv3_8M_pre_8kb,-10.597532,-3.532047,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.8859891698556498,20,random
InstaDeepAI/NTv3_5downsample_pre,-13.6185665,-5.6187334,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.902615287066897,20,random
InstaDeepAI/NTv3_5downsample_pre_8kb,-13.834659,-5.686446,V_d,tsne,NTv3,mlm_or_encoder,InstaDeepAI,0.9100300437386563,20,random
InstaDeepAI/agro-nucleotide-transformer-1b,-4.983261,-8.196568,V_d,tsne,AgroNT,mlm_or_encoder,InstaDeepAI,0.8430997842169101,20,random
kuleshov-group/caduceus-ph_seqlen-131k_d_model-256_n_layer-16,1.6873099,3.0740001,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.884701633913021,20,random
kuleshov-group/caduceus-ph_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,6.3107123,3.8506186,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8599849636540228,20,random
kuleshov-group/caduceus-ph_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,5.587026,4.086033,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8733538576992442,20,random
kuleshov-group/caduceus-ps_seqlen-131k_d_model-256_n_layer-16,1.6366996,3.082067,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8866102313993073,20,random
kuleshov-group/caduceus-ps_seqlen-1k_d_model-256_n_layer-4_lr-8e-3,5.518331,4.4478307,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8801137007974275,20,random
kuleshov-group/caduceus-ps_seqlen-1k_d_model-118_n_layer-4_lr-8e-3,6.256057,4.27891,V_d,tsne,Caduceus,mlm_or_encoder,kuleshov-group,0.8589845702949933,20,random
LongSafari/hyenadna-tiny-1k-seqlen,6.3929725,2.4116101,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8593370657548011,20,random
LongSafari/hyenadna-tiny-1k-seqlen-d256,6.348199,2.8479905,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8684343145836461,20,random
LongSafari/hyenadna-tiny-16k-seqlen-d128,6.065803,2.144912,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8441865827118354,20,random
LongSafari/hyenadna-small-32k-seqlen,5.282796,2.7507894,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8614033701713478,20,random
LongSafari/hyenadna-medium-160k-seqlen,5.550077,2.2807992,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8750736245081588,20,random
LongSafari/hyenadna-medium-450k-seqlen,5.478044,1.5576228,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.8630889851052007,20,random
LongSafari/hyenadna-large-1m-seqlen,5.982609,1.4498702,V_d,tsne,HyenaDNA,ar_or_generative,LongSafari,0.882996050302736,20,random
arcinstitute/evo2_40b_base,10.394518,0.8205883,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.6539986300080781,20,random
arcinstitute/evo2_40b,11.37364,-0.13857332,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7225756725075806,20,random
arcinstitute/evo2_20b,11.388437,-0.14167906,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7171525891693636,20,random
arcinstitute/evo2_7b_base,-14.998403,-8.294318,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8250326130547551,20,random
arcinstitute/evo2_7b_262k,-15.146044,-8.502076,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8205974210922076,20,random
arcinstitute/evo2_7b,-15.161472,-8.545974,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.8167636701690921,20,random
arcinstitute/evo2_1b_base,4.189062,-1.5030161,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.7342200870482283,20,random
evo-design/evo-2-7b-8k-microviridae,2.7052393,-4.9577293,V_d,tsne,Evo2,ar_or_generative,arcinstitute,0.78847106815382,20,random
evo-design/evo-1-7b-131k-microviridae,-0.2941407,-1.8759801,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7572457351321731,20,random
evo-design/evo-1.5-8k-base,-9.033112,-6.4878716,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7909976081239937,20,random
togethercomputer/evo-1-8k-base,3.3240907,0.034558766,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7424306370027449,20,random
togethercomputer/evo-1-131k-base,-8.701814,-6.292232,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7954309090655141,20,random
LongSafari/evo-1-8k-crispr,0.1357896,-0.70831543,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,20,random
LongSafari/evo-1-8k-transposon,0.13571125,-0.7084376,V_d,tsne,Evo1,ar_or_generative,arcinstitute,0.7503414690645832,20,random
zhihan1996/DNABERT-2-117M,1.1294885,1.1709604,V_d,tsne,DNABERT-2,mlm_or_encoder,zhihan1996,0.8127822928989513,20,random
zhihan1996/DNABERT-S,13.50897,3.4593418,V_d,tsne,DNABERT-S,mlm_or_encoder,zhihan1996,0.8142663811505192,20,random
AIRI-Institute/moderngena-base,-1.3737983,-3.4478312,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.856891141667942,20,random
AIRI-Institute/moderngena-large,-6.6442485,-4.8663797,V_d,tsne,ModernGENA,mlm_or_encoder,AIRI-Institute,0.8411760746474787,20,random
AIRI-Institute/gena-lm-bert-base-lastln-t2t,-5.2793956,-2.940529,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8804501385629268,20,random
AIRI-Institute/gena-lm-bert-base-t2t,-5.259312,-2.5683713,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.875354209820089,20,random
AIRI-Institute/gena-lm-bert-base,-4.054221,-2.2129354,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.876633315294654,20,random
AIRI-Institute/gena-lm-bert-base-t2t-multi,-5.248251,-3.264324,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8818294243347937,20,random
AIRI-Institute/gena-lm-bert-large-t2t,-5.812597,-2.6646535,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8802055036982036,20,random
AIRI-Institute/gena-lm-bigbird-base-t2t,-5.833546,-3.3722613,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8564414615903444,20,random
AIRI-Institute/gena-lm-bert-base-fly,-8.649082,-4.1059732,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8798749389495737,20,random
AIRI-Institute/gena-lm-bert-base-athaliana,-2.1155486,1.3969028,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.8631545556160756,20,random
AIRI-Institute/gena-lm-bert-base-yeast,14.406787,0.7961893,V_d,tsne,GENA-LM,mlm_or_encoder,AIRI-Institute,0.7947921711334538,20,random
PoetschLab/GROVER,-3.9107544,-1.5515536,V_d,tsne,GROVER,mlm_or_encoder,PoetschLab,0.8671038447106474,20,random
kuleshov-group/PlantCAD2-Small-l24-d0768,-5.395566,-10.357517,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8884170475709195,20,random
kuleshov-group/PlantCAD2-Medium-l48-d1024,-5.690577,-10.726321,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8850322169556907,20,random
kuleshov-group/PlantCAD2-Large-l48-d1536,-5.7576413,-10.823624,V_d,tsne,PlantCaduceus,mlm_or_encoder,kuleshov-group,0.8885135504845132,20,random
GenerTeam/GENERator-v2-eukaryote-1.2b-base,-12.118558,-8.891112,V_d,tsne,GENERatorv2,ar_or_generative,GenerTeam,0.9160398018093819,20,random
GenerTeam/GENERator-v2-eukaryote-3b-base,-12.893634,-9.195087,V_d,tsne,GENERatorv2,ar_or_generative,GenerTeam,0.9258188828698207,20,random
GenerTeam/GENERator-v2-prokaryote-1.2b-base,2.9952662,-0.7975634,V_d,tsne,GENERatorv2,ar_or_generative,GenerTeam,0.8475775736175143,20,random
GenerTeam/GENERator-v2-prokaryote-3b-base,2.227413,-0.3526997,V_d,tsne,GENERatorv2,ar_or_generative,GenerTeam,0.8647661365519584,20,random
GenerTeam/GENERator-eukaryote-1.2b-base,-12.069249,-8.8106365,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9123506614793109,20,random
GenerTeam/GENERator-eukaryote-3b-base,-12.828726,-9.092637,V_d,tsne,GENERator,ar_or_generative,GenerTeam,0.9195296385996374,20,random
GenerTeam/GENERanno-prokaryote-0.5b-base,-11.16244,-1.7552088,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8817084154138367,20,random
GenerTeam/GENERanno-eukaryote-0.5b-base,-1.6990805,-1.0212805,V_d,tsne,GENERanno,mlm_or_encoder,GenerTeam,0.8500129962518695,20,random
DOEJGI/GenomeOcean-100M-v1.2,-9.075706,-5.745791,V_d,tsne,GenomeOceanV1.2,ar_or_generative,DOEJGI,0.8707547235495641,20,random
DOEJGI/GenomeOcean-500M-v1.2,-9.917947,-6.27261,V_d,tsne,GenomeOceanV1.2,ar_or_generative,DOEJGI,0.8839444626248475,20,random
